id,area,en,ka,ru,de,fr,placeholders,ka corrected,ru corrected,de corrected,fr corrected,comment
ui.server.This reset link is invalid or has expired,interface,This reset link is invalid or has expired. Ask for a new one.,ბმული არასწორია ან ვადა გაუვიდა. მოითხოვეთ ახალი.,Ссылка недействительна или устарела. Запросите новую.,Dieser Link ist ungültig oder abgelaufen. Fordern Sie einen neuen an.,Ce lien est invalide ou a expiré. Demandez-en un nouveau.,,,,,,
ui.print.chatTitle,interface,Tax calculation,საგადასახადო გაანგარიშება,Налоговый расчёт,Steuerberechnung,Calcul fiscal,,,,,,
ui.print.question,interface,Question,კითხვა,Вопрос,Frage,Question,,,,,,
ui.print.answer,interface,Answer,პასუხი,Ответ,Antwort,Réponse,,,,,,
ui.print.generated,interface,prepared {date},მომზადდა: {date},подготовлено {date},erstellt am {date},établi le {date},{date},,,,,
ui.books.print,interface,Print / PDF,ბეჭდვა / PDF,Печать / PDF,Drucken / PDF,Imprimer / PDF,,,,,,
ui.print.disclaimer,interface,Prepared by Georgian AI Accountant from the Tax Code rules shown. It doesn't replace advice from a qualified accountant; rules marked unverified haven't been reviewed by one yet.,მოამზადა ქართულმა AI ბუღალტერმა ნაჩვენები საგადასახადო კოდექსის წესების მიხედვით. ეს არ ცვლის კვალიფიციური ბუღალტრის რჩევას; შეუმოწმებლად მონიშნული წესები ბუღალტერს ჯერ არ გადაუხედავს.,Подготовлено Georgian AI Accountant по указанным правилам Налогового кодекса. Не заменяет консультацию квалифицированного бухгалтера; правила с пометкой «не проверено» он ещё не просматривал.,Erstellt von Georgian AI Accountant nach den gezeigten Regeln des Steuergesetzbuchs. Ersetzt nicht die Beratung durch einen Steuerberater; als ungeprüft markierte Regeln hat noch keiner durchgesehen.,Établi par Georgian AI Accountant selon les règles du Code des impôts indiquées. Ne remplace pas l’avis d’un comptable qualifié ; les règles marquées non vérifiées n’ont pas encore été revues.,,,,,,
ui.reminders.title,interface,Deadline reminders,ვადების შეხსენებები,Напоминания о сроках,Fristerinnerungen,Rappels d’échéances,,,,,,
ui.reminders.desc,interface,Get a message shortly before each filing or payment deadline of your companies.,მიიღეთ შეტყობინება თქვენი კომპანიების ყოველი დეკლარაციის ან გადახდის ვადამდე ცოტა ხნით ადრე.,Получайте сообщение незадолго до каждого срока подачи декларации или оплаты по вашим компаниям.,Erhalten Sie kurz vor jeder Abgabe- oder Zahlungsfrist Ihrer Unternehmen eine Nachricht.,Recevez un message peu avant chaque échéance de déclaration ou de paiement de vos entreprises.,,,,,,
ui.reminders.email,interface,Email me at {email},გამომიგზავნეთ ელფოსტაზე: {email},Присылать на {email},Per E-Mail an {email},M’écrire à {email},{email},,,,,
ui.reminders.emailOff,interface,Email isn't set up on this server yet (SMTP settings in .env).,ელფოსტა ამ სერვერზე ჯერ არ არის გამართული (SMTP პარამეტრები .env-ში).,Эл. почта на этом сервере ещё не настроена (параметры SMTP в .env).,E-Mail ist auf diesem Server noch nicht eingerichtet (SMTP-Einstellungen in .env).,L’e-mail n’est pas encore configuré sur ce serveur (paramètres SMTP dans .env).,,,,,,
ui.reminders.telegram,interface,Telegram,Telegram,Telegram,Telegram,Telegram,,,,,,
ui.reminders.telegramLinked,interface,Connected,დაკავშირებულია,Подключено,Verbunden,Connecté,,,,,,
ui.reminders.telegramNotLinked,interface,Not connected,არ არის დაკავშირებული,Не подключено,Nicht verbunden,Non connecté,,,,,,
ui.reminders.telegramOff,interface,Telegram isn't set up on this server yet (TELEGRAM_BOT_TOKEN in .env).,Telegram ამ სერვერზე ჯერ არ არის გამართული (TELEGRAM_BOT_TOKEN .env-ში).,Telegram на этом сервере ещё не настроен (TELEGRAM_BOT_TOKEN в .env).,Telegram ist auf diesem Server noch nicht eingerichtet (TELEGRAM_BOT_TOKEN in .env).,Telegram n’est pas encore configuré sur ce serveur (TELEGRAM_BOT_TOKEN dans .env).,,,,,,
ui.reminders.telegramConnect,interface,Connect Telegram,Telegram-ის დაკავშირება,Подключить Telegram,Telegram verbinden,Connecter Telegram,,,,,,
ui.reminders.telegramDisconnect,interface,Disconnect,გათიშვა,Отключить,Trennen,Déconnecter,,,,,,
ui.reminders.telegramWaiting,interface,Press Start in the Telegram chat that just opened. This page updates by itself.,ახლახან გახსნილ Telegram-ის ჩატში დააჭირეთ Start-ს. ეს გვერდი თავად განახლდება.,Нажмите Start в открывшемся чате Telegram. Эта страница обновится сама.,Tippen Sie im gerade geöffneten Telegram-Chat auf Start. Diese Seite aktualisiert sich von selbst.,Appuyez sur Start dans la conversation Telegram qui vient de s’ouvrir. Cette page se met à jour toute seule.,,,,,,
ui.reminders.days,interface,When,როდის,Когда,Wann,Quand,,,,,,
ui.reminders.sameDay,interface,On the due date,ვადის დღეს,В день срока,Am Fälligkeitstag,Le jour de l’échéance,,,,,,
ui.reminders.daysBefore.one,interface,{n} day before,n/a,за {n} день,{n} Tag vorher,{n} jour avant,{n},,,,,
ui.reminders.daysBefore.few,interface,n/a,n/a,за {n} дня,n/a,n/a,{n},,,,,
ui.reminders.daysBefore.many,interface,n/a,n/a,за {n} дней,n/a,n/a,{n},,,,,
ui.reminders.daysBefore.other,interface,{n} days before,{n} დღით ადრე,за {n} дня,{n} Tage vorher,{n} jours avant,{n},,,,,
ui.reminders.test,interface,Send a test,სატესტო გაგზავნა,Отправить тест,Test senden,Envoyer un test,,,,,,
ui.reminders.done,interface,Done,მზადაა,Готово,Fertig,Terminé,,,,,,
ui.reminders.saved,interface,Saved.,შენახულია.,Сохранено.,Gespeichert.,Enregistré.,,,,,,
ui.reminders.testSent,interface,Sent by {channels}.,გაიგზავნა: {channels}.,Отправлено: {channels}.,Gesendet per {channels}.,Envoyé par {channels}.,{channels},,,,,
ui.reminders.testFailed,interface,Couldn't send by {channels}.,ვერ გაიგზავნა: {channels}.,Не удалось отправить: {channels}.,Senden fehlgeschlagen per {channels}.,Échec de l’envoi par {channels}.,{channels},,,,,
ui.reminders.testNone,interface,Turn on email or connect Telegram first.,ჯერ ჩართეთ ელფოსტა ან დააკავშირეთ Telegram.,Сначала включите эл. почту или подключите Telegram.,Schalten Sie zuerst E-Mail ein oder verbinden Sie Telegram.,Activez d’abord l’e-mail ou connectez Telegram.,,,,,,
ui.reminders.channel.email,interface,email,ელფოსტა,эл. почта,E-Mail,e-mail,,,,,,
ui.reminders.channel.telegram,interface,Telegram,Telegram,Telegram,Telegram,Telegram,,,,,,
ui.server.Telegram reminders are not set up,interface,Telegram reminders aren't set up on this server yet.,Telegram-ის შეხსენებები ამ სერვერზე ჯერ არ არის გამართული.,Напоминания в Telegram на этом сервере ещё не настроены.,Telegram-Erinnerungen sind auf diesem Server noch nicht eingerichtet.,Les rappels Telegram ne sont pas encore configurés sur ce serveur.,,,,,,
ui.review.title,interface,Rule review,წესების შემოწმება,Проверка правил,Regelprüfung,Vérification des règles,,,,,,
